Salmsweg;D0 1;M0 2;M0 2;30
Sanddornweg;M0 2;MO 2;M0 2;8
Sandweg;DI 1;DI 1;DI 2;3
Saturnweg;D0 2;D0 2;D0 2;14
Sauerbruchstr.;FR 2;MI 1;FR 2;11
Sauerlandstr.;D0 2;D0 2;D0 2;16
Schachtstr. 1-104/ 111;FR 2;FR1;FR 2;27
Schachtstr. 112-196;FR1;FR 1;FR 2;27
Schachtstr. 225-296;FR 1;FR 2;M0 1;12
Schadowstr.;FR 1;FR 1;FR 2;26
Schäfergasse;MI 2;MI 2;MI 2;17
SchiTdstr.;M0 2;M0 1;DI 2;21
Schillerstr. 1-75;FR 2;FR1;FR 2;25
Sel illerstr. 77-117;D0 1;D0 1;FR 2;28
Schinkelstr.;FR 1;FR 1;FR 2;26
Schkopauer Str.;MI 2;MI 2;MI 2;10
SchlesisChe Str.;MI 1;MI 1;MI 2;2
Schleswiger Str.;D0 2;D0 2;D0 2;16
SchTüterstr.;FR1;FR1;OR 2;26
Schmielenfe!dstr.;M0 2;M0 1;DI 2;21
Schneeballweg;M0 2;M0 2;M0 2;18
Schockenbrauk;FR1;FR 2;M0 1;1
Scholvener Str.;FR 2;FR 2;M0 1;9
Schreierstr.;D0 2;DO 2;D0 2;16
Schubertstr.;DI 2;DI 2;M0 2;22
Schulstr.;M0 1;M0 2;M0 2;8
Schumannstr.;DI 2;DI 2;M0 2;23
Schürenkamp;MI 1;MI 1;MI 2;2
Schüttfeldstr.;D0 2;MI 1;D0 2;29
Schutzenstr.;FR1;FR 2;M0 1;1
Schwabenstr.;MI 1;MI 1;MI 2;2
Schwa!benstr.;DT  2;DI 2;DI 2;15
Schwanenweg;DI 2;DI 2;DI 2;20
Schweriner Str.;D0 1;FR 2;M0 1;30
Seidelbastweg;MO 1;M0 2;M0 2;8
Sibe!iusstr.;M0 1;M0 1;M0 2;6
Sickingmühler  Str. 1-64 / 73;D0 1;D0 2;D0 2;5
Sickingmuhler  Str. 66-110b;MI 2;D0 2;MI 2;5
Sickingmühler  Str  124-216;MI 2;MI 2;MI 2;5
Sickingstr.;DI 2;DI 1;DI 2;3
SiebenteicLe;FR1;FR 2;M0 1;1
Siebenwinkel;FR 2;FR 2;M0 1;9
Siedlungsstr.;FR1;FR1;FR 2;25
Siegerlandstr.;D0 2;D0 2;D0 2;16
Siegfriedstr.;MI 2;MI 2;MI 2;24
Silvertstr.;DI 1;DI 1;DI 2;3
Sinsener Weg;M0 1;DI 1;DI 2;12
Smetanastr.;M0 1;M0 1;M0 2;6
Sonnerscheirstr.;DI 2;DI 2;DI 2;20
Spechtstr.;DI 1;DI 1;DI 2;19
Sperberweg;D! 2;DI 2;DI 2;15
Sper!ingstr. (außer 24-26);DI 2;DI 2;DI 2;19
Sperlingstr. 24-26;DI 2;DI 2;DI 2;15
Spiekerooger Str.;MU  1;MU ?;M0 2;22
Spiekerskamp;III I;I II  I;III 2;
Spreewaldstr.;MI  I;MI  I;MI 2;'CO
Starenweg;I il  t;IBl 1;0I 2;1b
Stargarder Str.;I x›  I;IJtJ;D0 2;4
Steinstr.;I ›i i .’;UfJ 1;D0 2;29
Stettiner Str.;I Jf i;I JfJ  1;D0 2;4
Stieglitzweg;ml  1;I›l 1;DI 2;19
Stübbenfeldstr.;I !J  I;I lt :›;M0 1;30
Swinemünder  Str.;!›L) T;lJ‹i 1;D0 2;4
Tannenstr.;DI 2;DI 1;DI 2;3
Taubenstr.;DI 2;DI 2;DI 2;15
Taunusweg;MI 1;MI 1;MI 2;2
Teck!enburger  Str.;D0 2;D0 2;D0 2;16
Teichstr.;FR 2;FR 2;M0 1;26
Theodor-Storm-Str.;D0 2;MI 1;D0 2;29
Thomas-Mann-Str.;D0 1;D0 1;FR 2;28
Thüringer Str.;MI 1;MI 1;MI 2;2
Tilsiter Str.;D0 1;D0 1;D0 2;4
T0ingskarnp;FR1;FR 2;M0 1;12
Treibweg;DI 1;DI 1;DI 2;7
Triftstr.;DI 1;DI 1;DI 2;3
Trogemannstr.;M0 2;M0 2;M0 2;13
Troisdorfer Str.;MI 2;MI 2;MI 2;10
Tulpenstr.;MI 2;MI 2;MI 2;5
Uckermarkstr.;MI 1;MI 1;Ml”2;3Ö
Uerdinger Str,;MI 2;MI 2;MI 2;10
Uhlandstr.;D0 1;D0 1;FR 2;28
Unterkamp;FR 2;FR 2;M0 1;9
Uranusweg;D0 2;D0 2;D0 2;14
Veilchenstr.;MI 2;MI 2;MI 2;5
Veit-Stoß-Str.;FR1;FR1;FR 2;26
Vennheider Weg;DI 1;DI 1;DI 2;7
Vennkamp;DI 1;DI 1;DI 2;7
Venusweg;D0 2;D0 2;D0 2;14
Verbindungsweg;D0 2;D0 1;D0 2;29
Victoriastr  1-5;MI 1;M0 2;M0 2;13
Victoriastr. 7-11 / 2-44;M0 2;M0 2;M0 2;13
Victnriastr. 13-Ende / 46  Ende;DI 2;DI 2;MO 2;13
Vik‹ii i‹!!:li.;FFA F;f II;M0 1;20
Vollratlisk‹imt›;I lt  2;I l\ 1;FR 1;25
Von-Flotow-Sli.;I›I :’;III 2;MO 2;22
Von  Gaben-Str.;IJ0 2;MI 1;D0 2;29
Von-MenzeI-Str.;FH 1;FR1;FR 2;26
Von-Schwind-Str.;FR1;FR1;FR 2;26
Vor den Buschen;M0 2;MO 1;DI 2;21
Voßkamp;D! 1;DI 1;DI 2;7
Wacholderstr.;M0 2;M0 2;M0 2;8
Wachte!str;DI2;Dl2;DI2;15
Wagnerstr.;M01;M01;M02;6
Waldstr.;M01;DI1;DI2;12
Waldstr. 39;D! 1;DI 1;DI 2;12
Wallstr.;M0 1;M0 1;M0 2;18
Wangerooger Str.;M0 1;M0 2;M0 2;22
Wasserwerksweg;DI 1;DI 1;DI 2;7
Weidenstr.;DI 2;MI 1;MI 2;22
Wei8dornweg;MO 2;M0 2;M0 2;8
Wellerfeldweg 1-13;D0 1;MI 1;MI 2;12
Wellerfe!dweg 51-238;MI 1;MI 1;M! 2;2
Wendlandstr.;D0 2;D0 2;D0 2;16
Werrastr.;D0 2;FR1;M0 1;12
Weserstr.;D0 2;FR1;MO 1;12
Westerholter  Str. 5-43;FR 2;FR 2;M0 1;26
Westerholter Str. 44-160;FR1;FR 2;M0 1;26
Westfalenstr.;D0 2;D0 2;D0 2;16
Widukindstr.;MI 2;MI 2;MI 2;24
Wielandstr.;MI 2;MI 2;MI 2;24
Wiener Str.;FR 2;FR1;D0 2;4
Wiesenstr.;MI 2;MI 2;MI 2;17
Wieskämper Weg;FR 2;FR 2;M0 1;1
Wilhelm-LehmbrucK-Str.;FR1;FR1;FR 2;26
Wilhelmstr.;D0 2;D0 1;D0 2;29
Wilhelm-Wemmer-Str.;FR 2;FR1;FR 2;11
Willy-Brandt-Allee;DO 2;D0 2;D0 2;14
Winkelstr.;FR 2;MI 1;FR  2;11
Wittebergweg;FR1;FR1;FR 2;12
Wittenfe!dstr.;MI 1;D0 2;MI 2;17
Wolfener Str.;M! 2;MI 2;MI 2;10
Wüllers Weg;FR 2;FR 2;M0 1;1
Zechenstr.;f”8 2;D0 1;FR 2;29
Zeisigstr. (außer 31-J3, 36  50);DI ü;DI 2;DI 2;19
Zeisigstr. 31- 33, 36  50;DI 2;DI 2;DI 2;15
Zeppelinstr.;FR 2;FR1;FR 2;25
Ziegeleistr.;MI 1;MI 1;DT  2;13
Zollvereinstr.;DI 2;DI 2;DI 2;20
Zu den Mühlen;FR 2;FR 2;M0 1;1
Zum SeilfahrtsChacht;M0 1;DI 1;DI 2;12
ZurFreiheit;DU;Dl1;DT2;7
ZurHöhe;M02;M01;DI2;21
