Hasenkamp;DI 1;DI 1;DI 2;7
Havellandstr.;MI 1;MI 1;MI 2;30
Hebbelstr.;FR 2;FR1;FR 2;27
Heidekamp;DI 1;DI 1;DI 2;7
Heidestr.;DI 2;DI 1;DI 2;3
Heimkampstr.;FR1;FR 2;M0 1;9
Heinrch-BoLSt.;DOB;D01;FR2;28
Heinrich-Heine-Str.;FR 2;MI 1;FR 2;27
Heinrich-Leyers-Str.;OR 2;FR 2;M0 1;9
Heinrich-von-Kleist-Str.;FR 2;FR1;FR 2;27
Heisterkampstr.;MI 1;MI 1;MI 2;17
Hellweg;FR 2;FR 2;M0 1;9
Hembrauk;FR1;FR1;FR 2;25
Herderstr.;FR 2;FR1;FR 2;27
Hermann-Löns-Str.;DI 2;DI 2;DI 2;15
Hermannstr.;DI 1;DI 1;DI 2;3
Herner Weg;M0 1;DI 1;DI 2;12
Henastr.;D0 2;D0 1;D0 2;29
Hertener Str.;FR1;D0 1;M0 1;30
Hervester Str. 2-8;FR 2;D0 2;D0 2;14
Hervester Str. 24-61;FR 1;D0 1;FR 2;28
Hervester Str. 70-208;FR 1;FR1;FR 2;28
Herzlia-Allee;D0 2;DO 2;D0 2;14
Hessische Str.;MI 1;MI 1;MI 2;2
Hesternkampstr.;Di 1;Di 1;DI 2;7
Heyerhoffstr.;Mi 2;Mi 2;Mi 2;24
Hiberniastr.;Mi 2;Mi 2;Mi 2;10
Hildebrandstr.;Mi 2;Mi 2;Mi 2;24
Hilgenort;Fr 1;Fr 2;M0 1;1
Hirschberger Str.;D0 1;00 1;D0 2;25
Hirtenweg;MI 2;MI 2;MI 2;17
Höchster Str.;MI 2;MI 2;MI 2;10
Hochfeldstr.;DI 2;MI 1;MI 2;22
Hochstr.;D0 1;D0 1;M0 1;25
Höfestr.;FR1;FR 2;M0 1;9
Holbeinstr.;FR1;FR1;FR 2;26
Hölderlinweg.;D0 1;D0 1;FR 2;28
Holsteiner Str.;D0 2;D0 2;D0 2;16
Holunderstr.;Mo 2;Mo 2;Mo 2;18
Hülsbergstr. 2 (THW);Do 1;Mo 2;Mo 2;6
Hülsbergstr. 61 - 191;Mo 1;Mo 2;Mo 2;6
Hülsbergstr. 198 - 253;Mo 1;Mo 1;Mo 2;21
Hülsbergstr. 255 - Ende;Mo 1;Mo 1;Di 2;21
Hülsdauer Str. ;Fr 1;Fr 2;Mo 1;1
Hülsmannsfeld;M0 2;M0 2;M0 2;8
Hülsstr. 1-117 (außer 26-30);DI 2;DI 2;M0 2;22
HüTsstr. 26-30;M0 2;DI 2;M0 2;22
Hülsstr. 119-301;DO 1;M0 2;M0 2;6
Hüppelswick;DI 1;DI 1;DI 2;7
lm Finn;DI 1;DI 1;DI 2;7
lm Frett;MI 1;MI 1;MI 2;2
lm Giesenfeld;FR 2;FR 2;M0 1;1
Im Gleisbogen;M0 2;M0 1;DI 2;21
lm Heiken;FR 1;FR 2;M0 1;1
lm Gesterkamp;FR 1;FR 2;M0 1;1
lm Kamp;DI 1;DI 1;DI 2;7
lm Kreuzeck;FR 1;FR 2;M0 1;1
lm Loh;M0 1;DI 1;DI 2;12
Im Lohenfeld;FR 2;FR 1;FR 2;25
Im Mersch;M0 1;DI 1;DI 2;12
lm Natrop;MI 2;MI 2;MI 2;2
Im Ophoff;FR 1;MI 1;M0 1;30
Im Ortchen;FR1;FR1;FR 2;25
Im Silberkamp;M0 1;M0 2;M0 2;6
lm Singelsen;MI 1;MI 1;MI 2;2
Im Spanenkamp;MI 1;MI 1;MI 2;24
lm Stillen Eck;FR 2;MI 1;FR 2;11
Im Winkel;MI 1;MI 1;MI 2;2
Imenkampstr.;MI 2;MI 2;MI 2;2
In de Flaslänne 1-21;M0 1;M0 2;M0 2;8
lndeFasänne22-94;M0 2;M0 2;M0 2;8
In den Gärten;FR1;FR1;FR 2;25
In den Kämpen;MI 2;MI 2;MI 2;17
In den Orthöfen;MI 1;MI 1;MI 2;2
In den Weiden;M0 1;DI 1;DI 2;12
lnsterburger Str.;D0 1;D0 1;D0 2;4
Jasminweg;M0 1;M0 2;M0 2;18
Johannes-Birkenfeld-Str.;FR 2;FR1;FR 2;25
Johannes-Brahms Str.;DI 2;DI 2;M0 2;23
Johannes-Falk-Str.;MI 2;MI 2;MI 2;10
Johannesstr.;DO 1;MI 1;MI 2;30
Johann-Hütter-Str.;FR 2;FR1;FR 2;11
Josefa-Lazuga-Str.;D0 2;D0 1;D0 2;14
Josefstr.;M0 1;M0 1;M0 2;23
Joseph-Haydn-Str.;DI 2;DI 2;M0 2;22
Juister Str.;D0 1;M0 2;M0 2;22
Julie-Kolb-Straße;D0 2;D0 2;D0 2;16
Julius—Leber-Str.;M0 1;M0 2;M0 2;23
Julius-Wegener-Str.;FR 2;FR 2;M0 1;9
Jupiterweg;D0 2;D0 2;D0 2;14
Jürgen-Schmeling-Str.;FR1;FR1;FR 2;26
 Justus-von Liebiq Str;Do 2;Do 2;Do 2;14
Kanphoffstr.;MI 1;Mi 1;Mi 2;17
Kampstr. 1-84 / 89;DO 2;Do 2;Do 2;29
Kampstr. 86 / 91-125;MI 2;Mi 2;Mi 2;10
Kampstr. 126—141;MI 2;Mi 2;Mi 2;10
Kapellenweg;FR 2;Fr 2;Mo 1;9
Kardenstr.;FR 1;FR 2;Mo 1;9
Karl-Breuing-Str.;DO 1;MI 1;Mi 2;30
Kar!-Liebknecht-Str.;MI 2;MI 2;Mi 2;17
Karl-Marx-Str.;Do 2;Do 2;Do 2;10
Karlstr. ;Mo 2;Mo 2;Mo 2;13
Kaspar-Grove-Str.;FR1;FR1;FR2;25
Kathe-KolIwitz-Str.;FR1;FR1;FR2;26
Kerkenkamp;FR1;FR2;M01;1
Kiebiust;Dl2;Dl2;Dl2;15
Kiefernstr.;FR 2;MI 1;FR 2;11
Kinderheimstr.;MI 1;MI 1;MI 2;24
Kirchplatz;FR 2;FR 2;M0 1;9
Kirchstr.;FR 2;FR 2;MO 1;9
Klosterstr.;FR1;FR 2;M0 1;9
Knappenstr.;DI 2;DI 2;DI 2;20
Kniestr.;DI 2;DI 2;M0 2;13
Kolberger Str.;D0 1;DO 1;D0 2;4
Kolpingstr.;FR1;FR 2;M0 1;9
Königsberger Str.;D0 1;D0 1;D0 2;4
ß0LI£ad-Adenauer-Platz;D0 2;FR1;D0 2;14
Römerstr.;M0 1;M0 1;M0 2;23
Konhausen;D0 1;M0 2;M0 2;6
Korthausener Weg;D0 1;M0 1;M0 2;6
Korthauser  Heide;M0 1;M0 1;M0 2;21
Kösliner Str.;D0 1;DO 1;D0 2;4
Kötterweg;FR1;FR 2;M0 1;9
Krablerstr.;D0 2;D0 1;D0 2;29
Kranichstr.;DI 1;DI 1;DI 2;19
Kreuzstr.;D0 1;DO 1;D0 2;4
Kriemhildestr.;MI 1;MI 1;MI 2;24
Krimpenbruch;DI 2;MI 1;MI 2;22
Krummen Weg;MI 2;MI 2;MI 2;17
Kuhlmannsweg;FR1;FR 2;M0 1;1
Kurzer Weg;MI 2;MI 2;MI 2;17
Küsters Feld;FR 2;FR 2;M0 1;1
Langehegge;MI 1;MI 1;MI 2;2
Langenbochumer Str.;FR1;MI 1;M0 1;30
Langeooger Str.;M0 1;M0 2;M0 2;22
Lassallestr.;D0 2;D0 2;D0 2;16
Lausitzer Str.;MI 1;MI 1;MI 2;30
Lavendelweg;M0 1;M0 2;M0 2;8
Lehmbecker Pfad;MI 2;MI 2;MI 2;17
Lehmkamp;M0 2;M0 2;M0 2;8
Leiblstr.;FR1;FR1;FR 2;26
Lenkerbecker Weg 6-15;DI 1;DI 1;DI 2;7
Lenkerbecker Weg 73-97a;M0 1;DI 1;DI 2;12
Lerchenstr.;DI 1;DI 1;DI 2;15
Lessingstr.;DI 2;DI 2;DI 2;20
Leunaer Str.;MI 2;MI 2;M! 2;10
Leusheider Weg;FR1;FR 2;M0 1;1
Leverkusener Str.;M! 2;MI 2;MI 2;10
Liegnitzer Str.;FR 2;FR1;D0 2;4
Liguster Weg;M0 2;M0 2;M0 2;18
Lilienstr.;MI 2;MI 2;MI 2;5
Lindenstr.;DI 2;DI 1;DI 2;20
Linder Weg;FR1;MI 1;M0 1;30
Linnenkampstr.;FR 1;FR 2;M0 1;1
Lipper Weg 1 / 3/ 5;M0 2;DI 2;MI 2;22
Lipper Weg 2-89;MI ?;MI F;M! 2;24
Lipper Weg 90-Ende;MI ?;MT :›;MI 2;10
Lippestr.;Mo 1;Fr 2;Mo 1;12
Lipphöfestr.;MO 1;FR 2;M0 1;12
Lise-Meitner-Str.;FR 1;FR 2;M0 1;12
Lisztstr.;M0 1;MO 2;M0 2;4
Loekampstr.;DI 2;MI 1;MI 2;22
Loekamptor;DI 2;M! 1;MI 2;22
Loemühlenweg außer 261;D0 1;MI 1;M0 2;30
Loemühlenweg 261;DI 2;MI 1;M0 2;30
Loestr.;FR 2;FR1;FR 2;25
Löntroper Grenzweg;M0 1;M0 2;M0 2;6
Lortzingstr.;DI 2;DI 2;M0 2;22
Lothar-HentscheI-Str.;FR 2;FR1;FR 2;11
Lucas-Cranach-Str.;Fr1;Fr 1;Fr 2;26
Ludwigshafenerstr. ;Mi 2;Mi 2;Mi 2;10
Luisenweg;Do 2;Mi 1;Do 2 ;29
Luise-Rinser-Weg. ;Mo 1;Mo 1;Mo 2;23
Lüttinghofallee;Fr 2;Fr 2;Mo 1;9
Mainstr.;D02;FR1;M01;12
MargaretenpTatz;D0 2;DO 1;D0 2;29
Maria-Jacobi-Stra8e;D0 2;D0 2;D0 2;16
Marie-Curie-Str.;M0  1;M0  1;M0  2;21
Marie-Juchacz-Strage;MO 1;MO 2;M0 2;23
Marienweg;D0 2;MI 1;D0 2;29
Markenweg;FR1;FR 2;M0 1;12
Märkische Str.;MI 1;MI 1;MI 2;2
Marktplatz Huls;M0 2;M0 2;M0 2;13
Marler Stern;D0 2;DO 2;DO 2;14
Marler Str.;M0 1;DI 1;DI 2;12
Marsweg;D0 2;D0 2;D0 2;14
Martin-LutT  er-Str.;D0 2;MI 1;D0 2;28
Mathias-GrünewaId-Str,;FR 1;FR1;FR 2;26
Matthias-C!audius-Str.;FR 2;FR1;FR 2;27
Max-Liebermann-Str.;FR1;FR 1;FR 2;26
Max-Planck-Str.;DO 1;DO 2;DO 2;14
Max-Reger-Str.;DI 2;DI 2;M0  2;23
MeckTenbuïger  Sir.;MI 1;MI 1;MI 2;2
Meisenstr.;DI 1;DI 1;DI 2;19
Melissenweg;M0 1;M0 2;MO 2;8
Mellumer Str.;M0 1;M0 2;M0  2;22
Mendelssohnstr.;DI 2;DI 2;MO 2;22
Merkelheider Weg;DI 1;DI 1;DI 2;19
Merkurstr.;D0 2;D0 2;DO 2;14
Merseburger Weg;MI 2;MI 2;MI 2;10
Merveldtstr.;MI 1;MI 1;DI 2;13
MiTsenkamp;DI 1;DI 1;DI 2;7
Mispelweg;M0 1;M0 2;M0 2;8
Mittelstr.;MI 2;D0 2;MI 2;5
Morgensonnenweg;FR1;FR1;FR 2;11
Mörikestr.;D0 1;D0 1;FR 2;28
Mose!str.;D0 2;FR1;M0 1;12
Möwenweg;DI 2;DI 2;DI 2;20
Mozartstr.;DI 2;DI 2;M0 2;22
Mühlenstr.;DO 1;M0 2;M0 2;18
Münchsweg;M0 1;M0 2;M0 2;18
Münsterlandstr.;D0 2;D0 2;D0 2;16
Nachtigallenweg;DI 2;DI 2;DI 2;15
Neckarstr.;D0 2;FR1;M0 1;12
Nelkenstr.;MI 2;MI 2;MI 2;5
Neptunstr.;D0 2;D0 2;D0 2;14
Neue Schlenke;D0 2;D0 2;D0 2;16
Neulandstr.;M0 2;M0 2;M0 2;8
Neumarkstr.;MI 1;MI 1;MI 2;30
Nibelungenstr.;MI 2;MI 2;MI 2;24
Niggenkamp;DI 1;DI 1;DI 2;7
Nonnenbusch;M0 2;M0 1;M0 2;21
Norderneyer Str.;D0 1;M0 2;M0 2;22
Nordstr. ;MO 1;DI 1;DI 2;12
Notweg;D0 1;MO 2;M0 2;30
Oberkamp;FR 2;OR 2;M0 1;9
Obersinsen;D0 1;M0 2;M0 2;18
Obersinsener Str.;M0 2;M0 2;M0 2;8
Oderbruchstr.;MI 1;MI 1;MI 2;30
